kristal_subscription_id,skey,fund_id,fkey
18145.0,0|13003|1244852,,
13656.0,0|13003|1247440,,
17941.0,0|13003|1263198,,
11098.0,0|13003|1263551,,
19002.0,0|13003|1263794,,
13795.0,0|13003|1264389,,
21594.0,0|13003|1268723,,
21399.0,0|13003|1269015,,
2068442.0,0|13003|1289431,,
2068577.0,0|13003|1290204,,
2068576.0,0|13003|1290334,,
2069285.0,0|13003|1290931,,
2072638.0,0|13003|1294626,,
8466.0,0|13285,,
8472.0,0|13285,,
8799.0,0|13285,,
8533.0,0|13285,,
9988.0,0|13298|1224590,,
21711.0,0|13298|1247440,,
10931.0,0|13298|1263794,,
13639.0,0|13298|1264386,,
14829.0,0|13298|1264402,,
18133.0,0|13298|1266131,,
20391.0,0|13298|1266152,,
20945.0,0|13298|1266161,,
23137.0,0|13298|1266186,,
20457.0,0|13298|1268723,,
20885.0,0|13298|1269015,,
28729.0,0|13298|1269750,,
59069.0,0|13298|1270393,,
27274.0,0|13298|1271154,,
33468.0,0|13298|1272135,,
46157.0,0|13298|1273278,,
39358.0,0|13298|1273552,,
34910.0,0|13298|1274396,,
39439.0,0|13298|1277358,,
58431.0,0|13298|1280948,,
65994.0,0|13298|1288506,,
2068538.0,0|13298|1290204,,
13273.0,0|13314|1224590,,
13274.0,0|13314|1263794,,
51039.0,0|13314|1278267,,
60213.0,0|13314|1285733,,
65743.0,0|13314|1287327,,
8465.0,0|13319,,
8800.0,0|13319,,
8534.0,0|13319,,
33890.0,0|13346|1269874,,
10930.0,0|13369|1263794,,
36680.0,0|13369|1275818,,
40702.0,0|13369|1278459,,
11776.0,0|13370|1263794,,
36678.0,0|13370|1275818,,
40706.0,0|13370|1278459,,
9026.0,0|13714|1263198,,
20458.0,0|13714|1267189,,
8885.0,0|13971,,
25435.0,0|13971|1247440,,
10296.0,0|13971|1262612,,
11838.0,0|13971|1264361,,
14121.0,0|13971|1264397,,
28429.0,0|13971|1269750,,
35560.0,0|13971|1273278,,
36724.0,0|13971|1275823,,
38390.0,0|13971|1276564,,
40870.0,0|13971|1278743,,
8886.0,0|13985,,
8882.0,0|13985,,
18632.0,0|13985|1247440,,
12616.0,0|13985|1260832,,
11981.0,0|13985|1264365,,
15252.0,0|13985|1266099,,
15253.0,0|13985|1266100,,
15254.0,0|13985|1266101,,
19386.0,0|13985|1266143,,
24748.0,0|13985|1269662,,
18324.0,0|14030|1267189,,
20460.0,0|14279|1267189,,
28507.0,0|14280|1267189,,
9028.0,0|14281|1263198,,
26738.0,0|14281|1267189,,
17026.0,0|14332|1263198,,
20541.0,0|14439|1269095,,
23297.0,0|14461|1247440,,
