goal_id,kristal_id
3086607,21599
253702,3058
220994,4997
2858356,12491
215782,2204
3087752,3736
2903610,3321
3087761,24701
2867355,2880
3083219,12809
2304133,13212
274555,4955
2314732,13902
226109,3058
3078520,14379
2294164,7432
2297836,3626
3077764,9806
3079697,16495
3079700,16532
2306885,3321
2306878,13007
2314336,2868
2462927,13771
2366268,14250
2308874,3200
2443198,7433
2311240,3200
2571855,3672
2391971,3351
88995,2350
252850,12053
253977,2958
252852,12053
146084,3620
252853,12053
25736,2205
107302,2958
107301,2958
226876,3058
202346,2966
200137,2205
186311,4997
246154,4955
220996,4997
238375,3672
238384,3672
272706,12050
187004,2205
191123,2350
3088583,22457
3088593,16192
3088595,16192
3088656,24511
3088668,14753
3077489,13205
3081272,17906
3081275,17906
3085077,17905
3079382,3698
88996,2350
3086233,22457
3087730,8717
3077788,13196
88994,2350
2970844,14359
3078737,3626
3042183,15348
2302759,13578
3070595,12381
2304556,2205
2613815,13024
2571860,3672
3088577,22457
2280291,12050
2280302,12965
2277517,12917
2278711,2868
2278713,3058
2279673,2958
2284144,5419
2294172,8717
150630,3672
2613826,14730
151443,3058
157338,2958
81788,3058
107303,2958
207167,2204
82816,3058
2277692,13050
253978,2958
207266,2204
243247,2350
215781,2204
274901,2988
275728,2958
270272,7433
253643,3058
253644,3058
238379,3672
238380,3672
244637,2205
250547,3139
266787,4955
265337,3058
265341,3058
2279073,2971
3088311,10202
3088410,13212
3088578,12050
3088607,2880
3088609,12050
3088627,14753
3088637,20808
3088638,13902
3088653,20544
3088696,25015
3088699,25018
3088703,25043
2714393,14403
3080959,15570
3087982,15335
2992560,2868
2716860,14403
3032876,15440
2307845,3321
3078741,14204
3077973,16273
3076998,3626
3088020,3117
3078055,14753
3079158,14301
3079167,4328
3081270,17906
2696683,3626
3085574,15267
3085575,23117
3029777,14753
2302758,13578
2613825,14730
3087722,22193
2303901,13054
2301593,13616
2558018,14615
2318146,2205
2313318,13850
2330590,3698
2277693,13054
125471,2350
3088061,3736
144970,2350
153643,2350
157340,2958
172864,2204
88998,2350
235444,2350
86885,3018
228089,9905
226869,3058
276683,2350
191120,2560
207200,2971
244642,2205
2281271,3117
2292652,4955
2292755,4955
3088806,24770
3088034,3058
3088078,2560
3088064,12970
3088065,12970
3088066,12970
3088100,3101
3088344,24965
3088345,24770
3088480,25043
3088588,22457
3088590,23216
3088612,21335
3088621,21335
3088625,12050
3088669,14753
3088685,25098
3088686,16224
3088749,25046
3088784,16480
3088781,25046
3088787,16224
3088852,14824
3088855,14824
3076962,2880
3078246,13007
3079770,13902
3087057,16531
2299314,3200
3087723,16444
2304879,3321
2305210,3321
2757590,12050
3054885,3011
2384187,13902
3087451,15271
3083210,20611
3083207,20611
3083208,20611
3083209,20611
3086629,23877
3078829,3626
2300459,3200
2317690,2880
2571859,3672
2306563,10169
2309099,13616
2479075,13902
3088601,23120
97785,2317
265339,3058
2384189,13902
2616643,2956
253974,2958
254027,11292
172862,4889
150631,3672
3079913,16119
3079585,3698
87901,3149
2302012,13670
107304,2958
182223,2560
3088592,23216
244115,4693
228651,2880
182219,2350
253975,2958
2283408,3773
2283409,7433
3079886,3101
3088603,21335
3088632,20544
3088644,21335
3088681,13321
3077980,13007
3082800,12612
3082801,12491
3081273,17906
3081274,17906
3087584,24505
3087585,12971
3054883,13832
3077310,16110
3079935,16531
3078036,14778
3079147,3626
3085079,18928
3085150,15267
3070596,12381
2298565,10169
