kristal_id,asset_id
3081,
13330,1290077
1908,
3030,1271466
14915,1294284
57,
2824,1266137
14932,1294296
14433,1293820
2843,1268401
22656,1297929
3031,1271465
3032,1271464
2069,
15086,1294429
16139,1295708
3002,
1954,
5549,1281707
15886,1295428
2858,
2793,1266118
3088,
12942,1289330
2167,
2855,
2856,
14703,
13969,1293324
3674,1278278
2807,1267572
2872,
13194,
13682,1290738
2871,
1686,
2841,
564,
24511,1299133
3125,1273554
1199,
2080,
2392,
1571,
16576,1296297
14047,1293391
2838,1266141
20774,1297078
2213,
1639,
13961,1293313
601,
3311,1275322
6671,1282961
14401,1293781
2140,
13138,24781
2940,1253101
2007,
2290,1229621
13906,1291036
1744,
2516,1262591
1658,
1670,
14206,1293497
15060,1294411
2962,1269878
1787,
3052,
3019,1271156
2500,
3358,1275831
16275,1295909
3664,1278137
3025,
3145,1273556
16432,4444
3229,1274703
3055,
7034,1283225
1073,
2791,
513,
1028,
15263,
14261,1293576
2812,1267572
3051,
13040,1289444
2033,
2559,1262602
4397,1275323
16486,1296148
13877,1289343
3402,1276067
2457,
3609,1277359
3658,1278111
24701,1299336
2776,
3440,1276380
13974,1293315
14373,49226
1968,
139,
1762,
13876,1289343
13354,1290129
14011,1293367
1713,
2296,
542,
25000,1299828
2322,1241566
119,
16456,1296122
2212,1225459
1542,
1534,
25001,1299829
9245,1285040
16377,228272
2185,1222751
112,
1043,
4232,1279576
15890,1295431
1833,
141,
1238,
1852,
6080,237606
550,
1211,
1049,
3775,1278744
2186,1222751
2071,
16499,1296160
1922,
13266,1289785
122,
13397,1290221
14452,1293839
2628,1262611
515,
15950,1295497
3356,1275826
2719,1264381
30,
16604,1296326
478,
82,
2627,1262610
549,
10799,1287327
14785,1294154
14864,1294235
14462,1293850
16165,1295744
3322,1275497
1033,
2027,
2195,
2506,1257768
13703,1290783
14480,1293866
36,
13295,1289997
1795,
625,
5219,1281248
1400,
13660,1290704
1501,
1422,
3621,1277504
597,
13023,1289445
563,
1507,
14335,1293721
1031,
2165,
1769,
13873,1290972
1700,
516,
2720,1264382
631,
16500,1296161
16277,1295910
2208,1224589
613,
14828,1294190
14935,1294300
13527,81609
5021,1275447
3441,1276381
2587,
16317,1295946
4496,1280092
16318,1295947
151,
2152,1214160
2390,
3339,1275563
1488,
2174,
3636,5178
6150,
15080,1294428
1559,
581,
1626,
1946,5151
1805,
2370,
2715,1264377
14249,1293644
15264,1294623
2586,
18860,1296619
14589,379956
2570,
2564,
2284,
15954,1295501
2746,1289544
2645,
2184,1222752
2242,
2294,
166,
24603,1299278
2258,
14862,1294230
62,
2179,
6548,1282763
2244,
2300,
13441,1290331
2568,
2172,
2569,
2488,
2148,
13433,1290311
18499,1223113
3355,1275825
1654,
17805,1296482
5018,1280994
13461,1290362
17049,1296400
3281,1275102
1943,
1485,
3357,1275830
2432,
2331,
1407,
12782,1289099
14676,
14267,1293650
16402,1296046
1693,
18200,1296529
1836,
6052,1282137
14029,1293375
2077,
146,
2280,
2380,
12920,1289281
1515,
1576,
94,
1503,
1620,
1847,
1500,
21566,1297312
1999,
5016,1280985
1844,
14361,1293723
496,
15568,1294960
15468,1294832
3216,1274687
2727,1264388
16487,1296149
2862,1266150
1845,
37,
20081,1296784
13934,1293260
2594,
8288,1284215
21005,1297151
16414,1296062
13679,1290742
2076,
14966,1294324
14023,1293375
15118,1294454
16222,133658
13064,
16416,1296063
17870,1296488
1543,
2223,
1835,
1479,
14921,1294270
1632,
1318,
1792,
16382,1296007
13462,1290363
1850,
16163,
1539,
1806,
18135,1296521
1486,
2497,
5103,1280983
1848,
13231,1289748
454,
13776,36934
15956,1295503
1636,
2573,
1637,
2469,
17377,1296440
1460,
1522,
1853,
13874,51749
720,
16605,1296327
2470,
1768,
1441,
1612,
2236,
738,
152,
1210,
1494,
1741,
14327,1293669
2231,
14928,1294293
32,
1496,
13465,1290366
1502,
2232,
16385,1296010
5351,1281410
1614,
14354,1293735
13668,1290705
14253,1293646
173,
16386,1296011
16553,24288
4362,1279926
16453,1296120
2094,
5586,1281775
2028,
14010,1293366
16339,1295972
2143,
1206,
3876,135518
13955,89537
14304,1293688
3701,1278460
1405,
8222,1284149
13606,1290517
3618,224824
1531,
2382,
19,
2310,
1870,
1625,
2237,1222024
2329,
2571,
15358,1294722
2574,
50,
1728,
1871,
1911,
24041,1298727
19092,1296701
1520,
14561,1293940
13469,1290370
14365,1293746
1613,
1854,
1611,
7497,1283754
2086,
12878,1289240
23,
1819,
13739,1290816
13911,1291039
1604,
100,
3653,1277879
14422,1293808
182,
14731,1294107
16061,1295614
6045,1282137
2233,
16,
13855,983403
184,
14388,1293770
2265,
15098,1294440
1873,
12488,1288910
12711,1289099
